url	title	date	author	up	normal	down	img_list	ip	
https://www.ptt.cc/bbs/Beauty/M.1163073882.A.11D.html	[帥哥] 實習單位的帥哥學長	2006-11-09 20:07:06	fly525	50	5	0		211.79.166.226
https://www.ptt.cc/bbs/Beauty/M.1164346236.A.409.html	[帥哥] 新菜出爐!!!!	2006-11-24 13:30:51	eveting	68	14	1		211.72.212.2
https://www.ptt.cc/bbs/Beauty/M.1182882841.A.818.html	[帥哥] 義大利帥哥	2007-06-27 02:33:56	frentzenlee	35	4	1		218.164.224.149
https://www.ptt.cc/bbs/Beauty/M.1214749233.A.159.html	[帥哥] (中)出賣朋友。	2008-06-29 22:20:30	HowRanCard	59	21	0		61.230.76.67
https://www.ptt.cc/bbs/Beauty/M.1222223345.A.91A.html	[帥哥] 消防猛男	2008-09-24 10:29:02	cioco	83	2	0		140.123.23.36
https://www.ptt.cc/bbs/Beauty/M.1220270823.A.315.html	[帥哥] 很陽光的男生	2008-09-01 20:07:00	espirit1111	92	22	0		118.232.101.192
https://www.ptt.cc/bbs/Beauty/M.1224090808.A.8C1.html	[帥哥] 愛在暹邏的「棟」	2008-10-16 01:13:26	FirstPushMan	36	7	0		124.9.131.29
https://www.ptt.cc/bbs/Beauty/M.1225794253.A.FEF.html	[帥哥] 體育系帥哥!!!!	2008-11-04 18:24:12	pity06	140	14	7		140.127.58.48
https://www.ptt.cc/bbs/Beauty/M.1244964045.A.59F.html	[帥哥] 摔角場上最帥的男人!!	2009-06-14 15:20:41	khsaxer	152	22	4	http:http://my.so-net.net.tw/sternness/fighters/noah/misawa.jpg;http:http://common.im.tv/vlog/MemPic/525598.jpg;http:http://pulolesu.anti-kevin.org/history/misawa/16.jpg	123.204.221.74
https://www.ptt.cc/bbs/Beauty/M.1245039911.A.931.html	[帥哥] 午餐來點養眼的 超帥的大學同學	2009-06-15 12:25:00	baobao55	84	18	7		114.43.235.14
https://www.ptt.cc/bbs/Beauty/M.1252673452.A.80E.html	[帥哥] 帥哥空服員	2009-09-11 20:50:50	dundus	73	14	4		58.114.90.169
https://www.ptt.cc/bbs/Beauty/M.1260298846.A.EB3.html	[帥哥] 金城武近照	2009-12-09 03:00:44	airfield	160	34	1	http:http://img130.imageshack.us/img130/6502/99540725.jpg	219.85.214.126
https://www.ptt.cc/bbs/Beauty/M.1266992794.A.D63.html	[帥哥] 乞丐	2010-02-24 14:26:31	trilove	161	20	1	http:http://img685.imageshack.us/img685/3361/1266983905958.jpg	120.126.139.192
https://www.ptt.cc/bbs/Beauty/M.1285173389.A.C72.html	[帥哥] 今天是他46歲生日 (B'z主唱稻葉浩志)	2010-09-23 00:36:26	shanyaochung	183	27	0		114.42.166.189
https://www.ptt.cc/bbs/Beauty/M.1301536667.A.044.html	[帥哥] 拾10萬鈔 男大生手抖 漏算1張	2011-03-31 09:57:45	ljuber	196	15	1		123.192.214.54
https://www.ptt.cc/bbs/Beauty/M.1303882026.A.D91.html	[帥哥] 偶然在學校發現的學弟	2011-04-27 13:27:02	daphanie0922	154	36	44		120.109.2.180
https://www.ptt.cc/bbs/Beauty/M.1310140738.A.F16.html	[帥哥] 央視 金城武的南極探險1080HD	2011-07-08 23:58:56	Laban	1	0	0		220.134.14.194
https://www.ptt.cc/bbs/Beauty/M.1310273699.A.000.html	[帥哥] 本日最帥		seashel	0	0	0		
https://www.ptt.cc/bbs/Beauty/M.1310296893.A.BC6.html	[帥哥] 神似金城武梁朝偉「餅攤大叔」爆紅(圖)		goldenhill	0	0	0		
https://www.ptt.cc/bbs/Beauty/M.1310518058.A.27C.html	[帥哥] 有人知道這位泰國帥哥歌手嗎?	2011-07-13 08:47:34	flyinhigh	5	6	1		59.105.18.161
https://www.ptt.cc/bbs/Beauty/M.1311064647.A.BC1.html	[帥哥] 中日混血 不知大家覺得如何?		rstar	0	0	0		
https://www.ptt.cc/bbs/Beauty/M.1311043693.A.AB7.html	[帥哥]小栗旬雷人照	2011-07-19 10:48:11	lyan083	0	5	0		60.199.248.193
https://www.ptt.cc/bbs/Beauty/M.1311070714.A.558.html	[帥哥] 我最帥的朋友~	2011-07-19 18:18:22	KYOROD	5	4	7		123.192.221.247
https://www.ptt.cc/bbs/Beauty/M.1311343034.A.E7E.html	[帥哥] 不錯帥 花美男	2011-07-22 21:57:12	iammyfriend	26	11	9		125.230.200.200
https://www.ptt.cc/bbs/Beauty/M.1311416604.A.F5F.html	[帥哥] 這才是愛打電動的帥哥	2011-07-23 18:23:20	vit9268	77	13	2		118.161.139.176
https://www.ptt.cc/bbs/Beauty/M.1311506113.A.4CA.html	[帥哥] 我覺得漫帥的~		nico731122	0	0	0		
https://www.ptt.cc/bbs/Beauty/M.1311868886.A.E2A.html	[帥哥] 哪一位比較帥?	2011-07-29 00:01:23	Mario1UP	20	7	13		1.172.132.111
https://www.ptt.cc/bbs/Beauty/M.1312206697.A.A9B.html	[帥哥] 歪果人~~	2011-08-01 21:51:33	erica06	12	10	4		59.115.130.128
https://www.ptt.cc/bbs/Beauty/M.1312906427.A.71F.html	[帥哥] 王子阿		krokopaja	0	0	0		
https://www.ptt.cc/bbs/Beauty/M.1312984125.A.BF0.html	[帥哥] 請幫忙選擇哪個比較好看		rat6101	0	0	0		
https://www.ptt.cc/bbs/Beauty/M.1313056360.A.D45.html	[帥哥] 男人也出來賣了		lyan083	0	0	0		
https://www.ptt.cc/bbs/Beauty/M.1313056909.A.F77.html	[帥哥] 這小子 才高一 我覺得蠻帥的	2011-08-11 18:01:46	GF	39	16	15		125.232.141.51
https://www.ptt.cc/bbs/Beauty/M.1313064900.A.C1E.html	[帥哥] 帥弟弟!	2011-08-11 20:14:57	makiloveu	5	2	0		59.112.173.89
https://www.ptt.cc/bbs/Beauty/M.1313237127.A.D94.html	[帥哥] 本日最帥	2011-08-13 20:05:24	ccsaibaurmom	71	9	11		1.169.153.227
https://www.ptt.cc/bbs/Beauty/M.1313372476.A.344.html	[帥哥] 韓澳混血兒童星《丹尼斯》		s961212055	0	0	0		
https://www.ptt.cc/bbs/Beauty/M.1313326046.A.C8B.html	[帥哥] 最近發現的帥哥	2011-08-14 20:47:24	hyhyhy	12	4	3	http://i.imgur.com/CRvh5.jpg	140.124.56.136
https://www.ptt.cc/bbs/Beauty/M.1313472467.A.726.html	[帥哥] 猩球崛起的男主角	2011-08-16 13:27:44	HAPPYKIMO	15	1	0		219.85.11.184
https://www.ptt.cc/bbs/Beauty/M.1313563549.A.9C8.html	[帥哥] 不知道這位小朋友是誰???也太帥了吧	2011-08-17 14:45:43	qn	6	5	7		220.136.73.39
https://www.ptt.cc/bbs/Beauty/M.1313592841.A.1FB.html	[帥哥] 本日最帥	2011-08-17 22:53:59	snoopig	33	9	7		58.210.199.243
https://www.ptt.cc/bbs/Beauty/M.1313752706.A.0DB.html	[帥哥] 請幫我判斷哪一張比較帥	2011-08-19 19:18:23	kouojoio	11	9	11		122.123.66.61
https://www.ptt.cc/bbs/Beauty/M.1313917120.A.FE6.html	[帥哥] 清秀帥哥	2011-08-21 16:58:37	thief87	8	4	6		114.39.174.163
https://www.ptt.cc/bbs/Beauty/M.1314162243.A.6D2.html	[帥哥] 今天一樣要帥的稻葉浩志		jo0903	0	0	0		
